Time,Apartment1,Apartment2,Apartment3,Apartment4,Apartment5
01-01-15 00:00,1.389038889,3.375236667,6.420981111,1.396644444,3.017456667
01-01-15 00:15,2.958631111,1.441644444,3.031428889,1.85932,3.202268889
01-01-15 00:30,0.770221111,1.939608889,0.964655556,2.176938889,3.421875556
01-01-15 00:45,7.399237778,2.440552222,3.852343333,2.150744444,3.101723333
01-01-15 01:00,8.557995556,1.160524444,0.872651111,1.269942222,3.056962222
01-01-15 01:15,5.638385556,3.037065556,3.036845556,2.863855556,6.167593333
01-01-15 01:30,3.885188889,0.690883333,1.967494444,1.146432222,2.775156667
01-01-15 01:45,2.505386667,0.645396667,1.74342,2.33518,2.841043333
01-01-15 02:00,1.614253333,0.586781111,3.581897778,2.106464444,2.728734444
01-01-15 02:15,0.830377778,0.682645556,0.612964444,1.452103333,2.729623333
01-01-15 02:30,3.141893333,0.692711111,3.679604444,1.924834444,2.732696667
01-01-15 02:45,0.877253333,0.611835556,1.533725556,3.585551111,2.77108
01-01-15 03:00,2.415028889,0.584073333,1.672984444,2.450642222,2.752617778
01-01-15 03:15,1.372555556,0.674415556,3.767736667,1.524251111,2.676806667
01-01-15 03:30,2.541705556,0.90657,4.744752222,1.708988889,2.6771
01-01-15 03:45,1.437204444,1.86376,1.241414444,2.54136,2.693901111
01-01-15 04:00,2.333412222,0.584885556,2.197672222,2.149253333,4.709113333
01-01-15 04:15,3.640414444,0.678222222,1.66165,1.410093333,2.640321111
01-01-15 04:30,1.407854444,0.664732222,2.210895556,2.995322222,2.617525556
01-01-15 04:45,3.453434444,1.465303333,2.659183333,1.601548889,2.616347778
01-01-15 05:00,1.719881111,2.402496667,0.946612222,1.55803,2.643117778
01-01-15 05:15,1.966396667,2.48778,3.994135556,3.137445556,2.745121111
01-01-15 05:30,2.197332222,2.457438889,1.39605,1.417544444,2.621831111
01-01-15 05:45,2.002154444,0.585334444,2.132453333,1.757674444,2.620181111
01-01-15 06:00,2.915711111,1.921357778,3.178156667,2.526245556,2.604114444
01-01-15 06:15,1.361254444,1.224871111,1.426683333,2.114518889,2.668256667
01-01-15 06:30,3.142437778,1.418347778,1.86977,2.214475556,2.646867778
01-01-15 06:45,1.254614444,2.28772,2.898922222,1.95743,2.592024444
01-01-15 07:00,2.857615556,0.581464444,1.261037778,1.479601111,2.585806667
01-01-15 07:15,2.717292222,1.577474444,3.01487,2.144538889,3.816648889
01-01-15 07:30,1.560046667,1.836464444,1.914278889,2.622316667,3.372721111
01-01-15 07:45,2.143056667,0.680318889,2.046843333,1.709151111,2.593604444
01-01-15 08:00,2.481966667,2.820364444,2.944656667,1.811051111,2.606846667
01-01-15 08:15,1.398593333,4.762248889,1.329886667,2.755136667,2.625016667
01-01-15 08:30,3.014748889,2.313881111,2.726514444,1.657133333,2.671327778
01-01-15 08:45,0.992401111,2.360213333,1.414874444,1.6053,2.70369
01-01-15 09:00,4.17969,3.564844444,2.666994444,2.125808889,2.626083333
01-01-15 09:15,1.586404444,3.108455556,1.391473333,2.714931111,2.614403333
01-01-15 09:30,1.340274444,1.434618889,2.651418889,1.645351111,2.582336667
01-01-15 09:45,1.876585556,2.443704444,1.695875556,1.340584444,2.673607778
01-01-15 10:00,2.880662222,2.821978889,1.497337778,2.179154444,0.48318
01-01-15 10:15,0.64314,3.205722222,2.662038889,2.456145556,0.373475556
01-01-15 10:30,1.506483333,2.567373333,0.910325556,1.366741111,0.402756667
01-01-15 10:45,1.278461111,3.329831111,2.804881111,3.070366667,0.452971111
01-01-15 11:00,1.367384444,7.833257778,1.172384444,3.241232222,2.175078889
01-01-15 11:15,2.20248,7.803147778,5.280704444,1.858482222,0.613862222
01-01-15 11:30,4.830226667,5.031257778,1.915622222,2.526811111,0.42177
01-01-15 11:45,4.636414444,6.020664444,4.279977778,2.360244444,0.459043333
01-01-15 12:00,4.362378889,4.040667778,1.565394444,1.58178,1.776504444
01-01-15 12:15,0.98815,3.360784444,0.982212222,2.14955,0.648676667
01-01-15 12:30,1.544678889,5.893203333,2.44952,2.458643333,2.690704444
01-01-15 12:45,2.169237778,7.016615556,1.494113333,1.466516667,1.581108889
01-01-15 13:00,1.240253333,1.89057,2.862687778,2.34705,0.94169
01-01-15 13:15,2.082061111,1.861502222,3.715537778,2.234436667,0.643034444
01-01-15 13:30,2.3914,3.294977778,1.162252222,1.219024444,0.584742222
01-01-15 13:45,0.459377778,2.293934444,1.569096667,1.596781111,0.63183
01-01-15 14:00,2.646567778,2.187404444,2.293433333,1.949423333,7.161805556
01-01-15 14:15,0.365147778,3.277694444,1.441208889,2.278073333,2.435418889
01-01-15 14:30,1.98959,1.534491111,1.766913333,1.223806667,4.079486667
01-01-15 14:45,0.874005556,1.49572,2.334387778,1.780132222,1.175462222
01-01-15 15:00,1.608475556,3.079155556,0.607218889,2.395988889,0.949834444
01-01-15 15:15,1.39209,1.914781111,2.119992222,1.395903333,2.739114444
01-01-15 15:30,1.57781,2.51214,0.919807778,1.240261111,0.674941111
01-01-15 15:45,1.455117778,2.436215556,3.91525,2.123756667,0.611925556
01-01-15 16:00,1.801354444,3.125305556,1.716338889,1.433535556,1.355691111
01-01-15 16:15,3.665777778,3.247677778,1.579802222,1.763786667,2.792431111
01-01-15 16:30,2.127393333,2.642104444,2.214617778,2.239566667,4.959261111
01-01-15 16:45,0.659281111,2.387777778,0.9641,0.901775556,2.283791111
01-01-15 17:00,4.360606667,1.341477778,2.464567778,2.063438889,0.662624444
01-01-15 17:15,0.428285556,2.917851111,1.221043333,2.003803333,2.285093333
01-01-15 17:30,1.661198889,2.23783,1.56826,1.033876667,3.812817778
01-01-15 17:45,1.112095556,1.065157778,6.006264444,2.035381111,5.295395556
01-01-15 18:00,3.905393333,2.862687778,5.774962222,1.84908,6.714781111
01-01-15 18:15,0.821003333,2.192596667,7.467491111,1.0351,2.14166
01-01-15 18:30,2.398687778,1.957858889,4.388482222,2.494931111,0.659242222
01-01-15 18:45,0.724665556,4.903338889,0.748782222,1.360294444,2.093003333
01-01-15 19:00,2.072067778,3.130203333,1.455536667,1.359185556,1.617487778
01-01-15 19:15,1.277513333,4.149261111,2.398755556,2.990548889,0.623531111
01-01-15 19:30,1.662736667,1.861828889,1.986206667,0.567212222,2.479205556
01-01-15 19:45,1.647757778,6.827194444,1.067315556,2.159791111,3.129363333
01-01-15 20:00,1.455042222,1.748597778,1.14212,3.551793333,2.8443
01-01-15 20:15,2.144712222,1.816487778,1.317236667,0.914272222,2.813736667
01-01-15 20:30,1.381666667,3.165256667,0.881537778,1.784603333,3.673153333
01-01-15 20:45,1.538263333,1.267027778,1.527115556,2.13879,3.922723333
01-01-15 21:00,1.595855556,1.362896667,1.969586667,1.527841111,4.011383333
01-01-15 21:15,1.795178889,2.698292222,2.635153333,1.192808889,2.81111
01-01-15 21:30,1.477042222,1.545481111,0.807893333,2.017588889,2.930913333
01-01-15 21:45,1.802132222,2.222425556,1.415887778,2.346361111,2.318426667
01-01-15 22:00,2.156036667,3.20899,1.34848,0.889597778,0.501191111
01-01-15 22:15,3.17387,1.419891111,1.0813,2.189146667,0.603056667
01-01-15 22:30,0.644938889,1.05306,1.362551111,1.995884444,0.564095556
01-01-15 22:45,2.810644444,3.273052222,0.77414,1.017207778,0.546611111
01-01-15 23:00,3.355905556,3.525678889,1.44342,1.923297778,2.547451111
01-01-15 23:15,3.252453333,3.434235556,0.991842222,2.127627778,1.169496667
01-01-15 23:30,4.183628889,2.103293333,1.135045556,1.411718889,0.581077778
01-01-15 23:45,1.239311111,0.766432222,1.250025556,1.34826,0.467507778
02-01-15 00:00,3.067101111,0.704493333,1.15325,2.421598889,0.466898889
02-01-15 00:15,2.121288889,0.586703333,1.022113333,1.50368,0.584696667
02-01-15 00:30,1.635974444,0.697547778,1.302154444,1.11855,0.535401111
02-01-15 00:45,1.874054444,0.695885556,0.565726667,2.399261111,0.506621111
02-01-15 01:00,1.36758,0.652074444,3.040214444,1.677757778,2.024135556
02-01-15 01:15,1.982854444,0.590258889,1.172941111,1.0341,1.205865556
02-01-15 01:30,2.155192222,0.612041111,0.509015556,2.287157778,0.562873333
02-01-15 01:45,2.228072222,0.698105556,1.462995556,1.806994444,0.508116667
02-01-15 02:00,2.223537778,0.605847778,0.851453333,1.246746667,0.48283
02-01-15 02:15,1.477397778,0.593415556,0.872191111,2.209498889,2.8481
02-01-15 02:30,1.610761111,0.630736667,1.133746667,1.20995,3.112924444
02-01-15 02:45,1.662921111,0.69022,1.190518889,1.684788889,0.525617778
02-01-15 03:00,2.450861111,0.591408889,0.611674444,2.357545556,0.505837778
02-01-15 03:15,0.748758889,0.592142222,1.286365556,1.158226667,0.894548889
02-01-15 03:30,2.742485556,0.628488889,1.277548889,1.574197778,2.605155556
02-01-15 03:45,0.581876667,2.285134444,0.82422,2.908728889,0.58036
02-01-15 04:00,2.830513333,0.58632,1.331852222,0.797481111,0.52013
02-01-15 04:15,0.334703333,0.584551111,1.073192222,3.593264444,0.631936667
02-01-15 04:30,3.076092222,0.598437778,0.714947778,1.91258,2.738918889
02-01-15 04:45,1.045064444,0.69339,1.38964,1.166044444,1.766677778
02-01-15 05:00,2.185905556,1.823422222,1.029175556,1.973871111,0.540523333
02-01-15 05:15,1.910856667,1.132522222,0.754865556,2.20941,0.4884
02-01-15 05:30,3.084055556,0.589372222,1.446344444,1.280918889,0.834501111
02-01-15 05:45,0.330947778,0.639156667,1.132881111,1.470333333,2.783936667
02-01-15 06:00,3.122305556,0.674355556,0.831506667,2.904211111,0.64925
02-01-15 06:15,0.346907778,2.157781111,1.336436667,0.680068889,2.454293333
02-01-15 06:30,3.564252222,1.162937778,1.117652222,2.172996667,0.919671111
02-01-15 06:45,0.436412222,0.58205,0.720087778,2.171515556,2.677547778
02-01-15 07:00,1.257604444,0.669336667,1.358614444,1.249472222,0.974734444
02-01-15 07:15,2.32534,2.509733333,1.180864444,1.494566667,0.607812222
02-01-15 07:30,2.358345556,1.042456667,0.812542222,2.973273333,0.504477778
02-01-15 07:45,1.28927,0.582842222,1.514601111,1.92597,2.400478889
02-01-15 08:00,4.48149,1.398096667,1.072923333,1.394002222,1.971502222
02-01-15 08:15,0.211557778,0.679121111,0.762662222,1.666316667,0.473686667
02-01-15 08:30,3.1209,1.641888889,1.522432222,2.168773333,0.58501
